id,pts,road,green,svf,building,meanh,temp,ws,humi
1037,4,26.9,30.22,17.67,10.09,5.9,30.79,3,62
1038,3,25.52,36.9,47.23,10.52,7.18,30.79,3,62
1039,2,14.7,56.21,49.85,6.9,4.08,28.19,1.1,84
1040,4,18.46,40.43,22.15,9.73,6.77,28.47,1.5,81
1041,3,24.52,39.74,88.97,12.52,5.11,28.47,1.5,81
1042,3,32.04,30.59,56.94,14.42,5.41,26.74,1.2,91
1043,2,26.02,34.16,53.67,11.72,6.7,31.4,2.1,58
1044,2,17.74,56.71,92.51,11,4.5,27.91,1.5,71
1045,1,5.77,60.42,97.75,2.1,2.12,28.23,3.4,72
1046,3,13.76,50.18,89.96,10.23,2.91,26.91,2.2,77
1047,3,2.44,60.7,98.27,0.56,1.26,28.59,1.7,74
1048,3,28.33,35.5,23.12,13.85,6.56,28.17,1.2,77
1049,2,32.1,30.42,56.44,14.44,5.41,26.93,0.7,85
1050,2,22.82,36.09,88.17,18.15,2.49,26.87,3.4,69
1051,1,17.32,57.58,60.62,10.92,4.44,26.19,2.8,72
1052,1,15.04,55.41,48.1,7.04,4.19,26.19,2.8,72
1053,2,31.94,30.81,58.57,14.39,5.41,25.33,3.1,73
1054,2,23.89,47.99,94.23,5.16,1.93,24.31,2.2,76
1055,2,26.21,35.66,10.04,10.08,6.61,24.51,1.7,88
1056,1,17.9,56.57,70.6,11.08,4.53,24.51,1.7,88
1057,3,26.79,36.6,30.83,12.13,5.92,30.37,1.9,60
1058,3,26.16,35.73,10.16,10.06,6.62,30.37,1.9,60
1059,3,26.16,35.73,10.16,10.06,6.62,30.37,1.9,60
1060,1,17.96,56.45,70.46,11.09,4.54,27.74,0.9,73
1061,2,17.96,56.45,70.46,11.09,4.54,27.74,0.9,73
1062,2,29.37,32.24,9.44,13.67,7.05,30.89,2,45
1063,3,32.17,30.4,55.29,14.51,5.39,27.09,0.8,62
1064,2,11.7,55.97,57.96,9.56,2.96,25.91,1,67
1065,3,35.88,30.03,18.58,14.99,7.31,25.07,0.8,71
1066,3,35.88,30.03,18.58,14.99,7.31,25.07,0.8,71
1067,1,26.73,36.53,27.81,12.23,6,27.86,2.7,65
1068,4,15.26,46.3,1.57,8.37,6.96,27.64,1.2,67
1069,1,17.85,56.74,70.76,11.1,4.55,25.81,1.8,75
1070,3,26.23,35.62,10.09,10.07,6.61,30.33,1.8,53
1071,2,17.89,56.67,70.63,11.1,4.55,30.33,1.8,53
1072,3,35.85,30,14.16,15,7.34,29.23,1.6,58
1073,4,21.92,44.04,59.39,13.45,2.96,29.23,1.6,58
1074,2,15.13,54.98,2.62,7.09,4.34,27.57,0.7,65
1075,1,26.73,36.78,33.76,12.1,5.93,27.57,0.7,65
1076,3,31.93,30.86,58.85,14.39,5.42,22.63,1,95
1077,1,17.92,56.54,70.55,11.08,4.53,22.63,1,95
1078,2,19.09,36.13,88.05,11.31,3.86,22.41,0.7,96
1079,1,26.8,36.61,30.96,12.13,5.92,22.37,0.4,97
1080,3,15.12,55.02,2.93,7.08,4.34,30.86,1.5,59
1081,4,32.1,30.5,56.15,14.47,5.39,30.86,1.5,59
1082,3,30.35,31.12,62.33,14.03,7.12,30.03,1.3,65
1083,1,17.36,57.68,48.58,10.97,4.45,28.4,1.6,72
1084,3,35.4,30.95,45.76,14.67,7.29,28.4,1.6,72
1085,2,17.83,56.66,70.86,11.05,4.52,30.84,1.2,56
1086,4,15.37,46.01,1.99,8.37,6.95,30.84,1.2,56
